id,TrialNumber,im,faceNumber,hemifield,aoi,dwellTime,nFixations,nDwells,fixX,fixY,firstFixNum,lastFixNum,fix0X,fix0Y,fix1X,fix1Y,lastFixX,lastFixY,face,hem,angle,group,col,angle2,correct
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,2,Intact,O69,RVF,1. left,724,2,2,0.918918919,0.783783784,3,8,0.162162162,0.675675676,1,0.216216216,-293,66,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,2,Intact,O69,RVF,2. center,1647,4,4,0.459459459,0.702702703,2,6,0.162162162,0.675675676,0.243243243,0.72972973,25,35,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,2,Intact,O69,RVF,3. right,1006,3,3,0.27027027,0.810810811,1,7,0.162162162,0.675675676,0.540540541,0.594594595,307,73,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,3,Mirror reversed,O33,LVF,1. left,815,2,2,1.27027027,0.351351351,3,6,0.486486486,0.945945946,1.135135135,0.297297297,-264,16,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,3,Mirror reversed,O33,LVF,2. center,1173,3,3,0.648648649,0.783783784,2,4,0.486486486,0.945945946,0.675675676,0.675675676,33,22,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,3,Mirror reversed,O33,LVF,3. right,932,2,2,0.513513514,0.783783784,1,5,0.486486486,0.945945946,0.783783784,0.783783784,329,29,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,4,Intact,O69,LVF,1. left,1248,3,3,0.864864865,0.351351351,3,11,0.594594595,0.918918919,0.594594595,0.405405405,-288,5,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,4,Intact,O69,LVF,2. center,2354,7,7,0.72972973,0.621621622,2,12,0.594594595,0.918918919,0.513513514,0.702702703,30,14,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,4,Intact,O69,LVF,3. right,2538,4,4,0.324324324,0.621621622,1,13,0.594594595,0.918918919,0.486486486,0.702702703,332,20,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,5,Intact,O80,RVF,1. left,524,1,1,0.675675676,0.459459459,5,5,0.027027027,1.081081081,0.675675676,0.459459459,-295,17,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,5,Intact,O80,RVF,2. center,1689,4,3,0.324324324,1.027027027,1,6,0.027027027,1.081081081,0.756756757,1.027027027,29,35,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,5,Intact,O80,RVF,3. right,982,3,2,0.756756757,0.648648649,2,7,0.027027027,1.081081081,1.081081081,0.675675676,339,25,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,6,Intact,O50,RVF,1. left,608,1,1,0.756756757,0.405405405,3,3,0.378378378,0.891891892,0.756756757,0.405405405,-292,15,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,6,Intact,O50,RVF,2. center,1456,3,3,0.513513514,0.756756757,2,4,0.378378378,0.891891892,0.567567568,0.648648649,29,21,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,6,Intact,O50,RVF,3. right,1124,2,2,0.243243243,0.486486486,1,5,0.378378378,0.891891892,0.513513514,0.459459459,316,20,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,7,Mirror reversed,O84,LVF,1. left,824,1,1,0.891891892,0.432432432,1,1,-0.027027027,0.297297297,0.891891892,0.432432432,-287,16,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,7,Mirror reversed,O84,LVF,2. center,924,2,2,0.27027027,0.405405405,2,2,-0.027027027,0.297297297,0.918918919,0.621621622,34,23,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,7,Mirror reversed,O84,LVF,3. right,807,1,1,0.081081081,0.675675676,3,3,-0.027027027,0.297297297,0.081081081,0.675675676,323,25,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,8,Intact,O49,RVF,1. left,574,1,1,0.540540541,0.297297297,3,3,-0.054054054,0.702702703,0.540540541,0.297297297,-300,11,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,8,Intact,O49,RVF,2. center,2755,4,4,0.351351351,0.594594595,2,6,-0.054054054,0.702702703,0.378378378,0.432432432,19,22,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,8,Intact,O49,RVF,3. right,2322,3,3,0.675675676,0.459459459,1,7,-0.054054054,0.702702703,0.756756757,0.486486486,342,10,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,9,Intact,O39,LVF,1. left,1141,1,1,0.405405405,0.864864865,4,4,0.216216216,0.891891892,0.405405405,0.864864865,-305,32,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,9,Intact,O39,LVF,2. center,1557,2,2,0.135135135,0.864864865,3,3,0.216216216,0.891891892,-0.243243243,0.72972973,-9,27,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,9,Intact,O39,LVF,3. right,807,2,1,0.756756757,0.594594595,1,2,0.216216216,0.891891892,0.702702703,0.432432432,348,22,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,10,Intact,O79,RVF,1. left,873,3,1,0.27027027,0.432432432,3,5,0.27027027,0.810810811,0.648648649,0.405405405,-312,17,3. RR,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,10,Intact,O79,RVF,2. center,2131,3,3,0.216216216,0.756756757,2,6,0.27027027,0.810810811,-0.567567568,0.756756757,20,24,2. target,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,10,Intact,O79,RVF,3. right,1465,2,2,0.27027027,0.648648649,1,7,0.27027027,0.810810811,0.27027027,0.594594595,331,26,1. LL,RVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,11,Intact,O28,LVF,1. left,807,4,2,0.837837838,0.405405405,3,9,0.297297297,0.837837838,0.459459459,0.216216216,-296,16,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,11,Intact,O28,LVF,2. center,1898,3,3,0.27027027,0.756756757,2,6,0.297297297,0.837837838,-0.027027027,0.648648649,23,24,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,11,Intact,O28,LVF,3. right,1332,2,2,0.243243243,0.567567568,1,7,0.297297297,0.837837838,-0.027027027,0.594594595,339,19,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,12,Intact,O80,LVF,1. left,1748,3,3,0.513513514,0.702702703,3,9,0.162162162,1.027027027,0.513513514,0.648648649,-296,28,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,12,Intact,O80,LVF,2. center,2722,4,4,0.297297297,0.945945946,2,8,0.162162162,1.027027027,0.216216216,0.918918919,1,35,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,12,Intact,O80,LVF,3. right,2705,3,3,0.054054054,0.756756757,1,7,0.162162162,1.027027027,0.027027027,0.72972973,323,25,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,13,Intact,O37,LVF,1. left,1124,2,2,0.864864865,0.216216216,3,8,0.216216216,1,0.891891892,0.243243243,-290,7,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,13,Intact,O37,LVF,2. center,1814,4,3,0.297297297,0.783783784,2,5,0.216216216,1,0.891891892,0.567567568,0,27,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,13,Intact,O37,LVF,3. right,1290,2,2,0.459459459,0.567567568,1,6,0.216216216,1,0.297297297,0.594594595,346,19,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,1
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,14,Mirror reversed,O68,LVF,1. left,1032,2,2,0.783783784,0.540540541,3,7,-0.027027027,0.783783784,0.702702703,0.486486486,-288,22,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,14,Mirror reversed,O68,LVF,2. center,2289,5,5,0.351351351,0.702702703,2,8,-0.027027027,0.783783784,0.702702703,0.756756757,32,17,2. target,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,14,Mirror reversed,O68,LVF,3. right,1323,2,2,0.324324324,0.486486486,1,5,-0.027027027,0.783783784,0.513513514,0.486486486,324,18,3. RR,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
j2,15,Mirror reversed,O54,LVF,1. left,1090,2,2,0.918918919,0.486486486,3,7,-0.027027027,0.918918919,0.918918919,0.405405405,-286,22,1. LL,LVF,28.61045967,1. English,#90B9B6,-0.364212007,0
,,,,,,,,,,,,,,,,,,,,,,,,,
